price,surface,rooms,governorate,property_type
895000.0,216.0,4,Nabeul,House
750000.0,250.0,4,Nabeul,House
315000.0,41.0,1,Tunis,Appart
2600000.0,900.0,8,Tunis,House
180000.0,1300.0,3,Sfax,House
770000.0,198.0,3,Ariana,Appart
1580000.0,155.0,3,Tunis,House
710000.0,158.0,3,Tunis,Appart
1380000.0,292.0,3,Tunis,House
1700000.0,813.0,3,Sousse,House
1470000.0,240.0,4,Tunis,House
330000.0,130.0,3,Ariana,Appart
260000.0,99.0,3,Ariana,Appart
1280000.0,188.0,3,Tunis,Appart
1300000.0,312.0,3,Tunis,House
260000.0,69.0,1,Tunis,Appart
580000.0,136.0,3,Ariana,House
850000.0,280.0,4,Tunis,House
780000.0,158.0,1,Tunis,Appart
1200000.0,750.0,5,Sousse,House
250000.0,170.0,3,Tunis,House
235000.0,120.0,2,Nabeul,Appart
580000.0,170.0,3,Nabeul,House
400000.0,187.0,3,Tunis,Appart
340000.0,124.0,2,Tunis,Appart
260000.0,115.0,3,Tunis,Appart
