price,surface,rooms,governorate,property_type,log_price,log_surface
630000.0,168.0,3,Tunis,Appart,13.353476685668044,5.1298987149230735
1050000.0,220.0,3,Tunis,Appart,13.864301674514206,5.3981627015177525
700000.0,140.0,4,Tunis,Appart,13.45883704259595,4.948759890378168
1260000.0,180.0,2,Tunis,House,14.04662307257814,5.198497031265826
850000.0,473.0,4,Tunis,House,13.652992804936396,6.161207321695077
1650000.0,476.0,2,Tunis,House,14.316286451937186,6.1675164908883415
900000.0,313.0,6,Nabeul,House,13.710151153416941,5.749392985908253
320000.0,131.0,4,Ariana,Appart,12.676079399771027,4.882801922586371
380000.0,160.0,2,Tunis,Appart,12.847929163278053,5.081404364984463
232000.0,62.0,1,Tunis,Appart,12.354496960983985,4.143134726391533
592500.0,279.0,3,Nabeul,Appart,13.292107839753712,5.634789603169249
230000.0,110.0,2,Nabeul,House,12.345838935721968,4.709530201312334
470000.0,170.0,6,Nabeul,House,13.060490101343552,5.14166355650266
540000.0,207.0,1,Tunis,House,13.199326270390594,5.337538079701318
291292.0,110.0,2,Kairouan,Appart,12.582084912449389,4.709530201312334
450000.0,145.0,2,Nabeul,Appart,13.017005083966255,4.983606621708336
420000.0,100.0,2,Nabeul,Appart,12.948012371209098,4.61512051684126
375000.0,140.0,2,Tunis,Appart,12.834683971615659,4.948759890378168
295000.0,109.0,2,Ariana,Appart,12.59473402514672,4.700480365792417
660000.0,263.0,6,Tunis,House,13.399996629152975,5.575949103146316
880000.0,415.0,2,Tunis,Appart,13.68767832281738,6.030685260261263
850000.0,284.0,3,Tunis,House,13.652992804936396,5.652489180268651
209000.0,83.0,1,Tunis,Appart,12.250094315624496,4.430816798843313
390000.0,185.0,2,Tunis,Appart,12.873904582205107,5.225746673713202
224190.0,95.0,2,Kairouan,Appart,12.32025364608475,4.564348191467836
890000.0,500.0,4,Nabeul,House,13.698977865303197,6.2166061010848646
190000.0,65.0,1,Tunis,Appart,12.154784614286667,4.189654742026425
480000.0,129.0,3,Tunis,Appart,13.081543466215237,4.867534450455582
1300000.0,200.0,3,Tunis,Appart,14.077875591662238,5.303304908059076
850000.0,235.0,7,Tunis,House,13.652992804936396,5.4638318050256105
1100000.0,530.0,4,Ariana,House,13.910821646859095,6.274762021241939
257500.0,100.0,3,Manouba,House,12.458778882573533,4.61512051684126
250000.0,120.0,3,Ariana,Appart,12.429220196836383,4.795790545596741
425000.0,176.0,4,Tunis,Appart,12.959846800844963,5.176149732573829
460000.0,157.0,3,Ariana,Appart,13.038983942375959,5.062595033026967
291292.0,105.0,2,Kairouan,Appart,12.582084912449389,4.663439094112067
223532.0,95.0,2,Kairouan,Appart,12.317314333143134,4.564348191467836
188634.0,80.0,2,Kairouan,Appart,12.147569209906774,4.394449154672439
1260000.0,208.0,3,Tunis,Appart,14.04662307257814,5.342334251964811
470000.0,203.0,4,Nabeul,House,13.060490101343552,5.318119993844216
650000.0,550.0,2,Tunis,House,13.384729180332174,6.311734809152915
166000.0,82.0,2,Sousse,Appart,12.019749091416921,4.418840607796598
590000.0,151.0,3,Tunis,Appart,13.28787951079572,5.0238805208462765
290000.0,150.0,3,Tunis,House,12.577639650232573,5.017279836814924
350000.0,310.0,7,Tunis,House,12.765691290604371,5.739792912179234
98000.0,75.0,2,Tunis,Appart,11.49273296168228,4.330733340286331
350000.0,220.0,8,Tunis,House,12.765691290604371,5.3981627015177525
1260000.0,250.0,3,Tunis,Appart,14.04662307257814,5.5254529391317835
240000.0,120.0,2,Sousse,Appart,12.388398368982115,4.795790545596741
720192.0,218.0,3,Sousse,Appart,13.487274510627323,5.389071729816501
485760.0,147.0,3,Sousse,Appart,13.093472012377005,4.997212273764115
306000.0,113.0,2,Sousse,Appart,12.631343648903034,4.736198448394496
170000.0,64.0,1,Ariana,Appart,12.04355959836804,4.174387269895637
1200000.0,493.0,2,Ariana,House,13.997832948091215,6.202535517187923
830000.0,166.0,3,Tunis,Appart,13.629182184591333,5.117993812416755
829000.0,143.0,2,Tunis,Appart,13.627976640389322,4.969813299576001
410000.0,120.0,2,Tunis,Appart,12.923914877701906,4.795790545596741
490000.0,160.0,3,Nabeul,Appart,13.102162710901053,5.081404364984463
780000.0,183.0,3,Nabeul,House,13.567050480716235,5.214935757608986
850000.0,530.0,4,Nabeul,House,13.652992804936396,6.274762021241939
330000.0,220.0,4,Nabeul,House,12.706850963741102,5.3981627015177525
270000.0,107.0,2,Ariana,Appart,12.506180941677357,4.68213122712422
180000.0,150.0,4,Ben Arous,Appart,12.100717685412471,5.017279836814924
900000.0,320.0,6,Ben Arous,House,13.710151153416941,5.771441123130016
380000.0,171.0,4,Ariana,Appart,12.847929163278053,5.147494476813453
200000.0,117.0,4,Tunis,Appart,12.206077645517674,4.770684624465665
300000.0,225.0,3,Nabeul,House,12.611541086966115,5.420534999272286
580000.0,200.0,2,Tunis,Appart,13.270785106659046,5.303304908059076
588000.0,140.0,3,Sousse,Appart,13.28448392755959,4.948759890378168
150000.0,68.0,2,Kairouan,Appart,11.918397239722838,4.23410650459726
480000.0,280.0,3,Kairouan,House,13.081543466215237,5.638354669333745
230000.0,200.0,5,Kairouan,House,12.345838935721968,5.303304908059076
800000.0,200.0,3,Ariana,Appart,13.592368256649284,5.303304908059076
183000.0,53.0,1,Tunis,Appart,12.117246896289503,3.9889840465642745
540000.0,207.0,4,Tunis,Appart,13.199326270390594,5.337538079701318
190000.0,52.0,1,Nabeul,Appart,12.154784614286667,3.970291913552122
1700000.0,206.0,3,Tunis,Appart,14.346139397261565,5.332718793265369
690000.0,130.0,2,Tunis,Appart,13.444448325847754,4.875197323201151
365000.0,63.0,1,Tunis,Appart,12.807655372286902,4.1588830833596715
575000.0,174.0,3,Ariana,Appart,13.26212705890841,5.1647859739235145
4000000.0,500.0,5,Tunis,House,15.201805169084134,6.2166061010848646
820000.0,140.0,2,Tunis,Appart,13.617060838751888,4.948759890378168
458000.0,139.0,3,Ariana,Appart,13.034626646500051,4.941642422609304
440000.0,150.0,4,Ariana,Appart,12.994532278619134,5.017279836814924
230000.0,55.0,1,Nabeul,Appart,12.345838935721968,4.02535169073515
750000.0,250.0,3,Ariana,House,13.527829818844937,5.5254529391317835
255000.0,61.0,1,Nabeul,Appart,12.449022745701502,4.127134385045092
370000.0,200.0,2,Nabeul,House,12.821260987319457,5.303304908059076
980000.0,221.0,4,Nabeul,House,13.795308871054397,5.402677381872279
690000.0,250.0,3,Nabeul,House,13.444448325847754,5.5254529391317835
750000.0,174.0,4,Nabeul,House,13.527829818844937,5.1647859739235145
470000.0,350.0,3,Nabeul,House,13.060490101343552,5.860786223465865
380000.0,97.0,2,Tunis,Appart,12.847929163278053,4.584967478670572
385000.0,140.0,2,Tunis,Appart,12.861001210669146,4.948759890378168
1100000.0,1012.0,3,Nabeul,House,13.910821646859095,6.920671504248683
750000.0,230.0,3,Nabeul,House,13.527829818844937,5.442417710521793
950000.0,460.0,4,Nabeul,House,13.76421831620775,6.133398042996649
680000.0,130.0,3,Nabeul,Appart,13.429849547739444,4.875197323201151
285000.0,57.0,1,Nabeul,Appart,12.560247968016562,4.060443010546419
360000.0,116.0,2,Nabeul,Appart,12.793862088206213,4.762173934797756
490000.0,145.0,3,Nabeul,House,13.102162710901053,4.983606621708336
1189000.0,205.0,3,Tunis,Appart,13.988624016715459,5.327876168789581
415000.0,72.0,1,Tunis,Appart,12.936036208848487,4.290459441148391
379000.0,110.0,2,Tunis,Appart,12.84529412258351,4.709530201312334
388000.0,119.0,2,Tunis,Appart,12.868763195921677,4.787491742782046
370000.0,100.0,2,Ariana,Appart,12.821260987319457,4.61512051684126
