chambres,prix,source,surface,titre,type_bien,type_transaction,ville
3,190000.0,tayara,470.0,Villa à vendre route mahdia,House,À Vendre,Tunis
4,240000.0,tayara,465.0,Maison à vendre semi fini situer à sidi selem djerba,House,À Vendre,Mdenine
2,185000.0,tayara,80.0,Facilité de paiement sur 24 mois,Appart,À Vendre,Nabeul
1,150000.0,tayara,65.0,A vendre S1 a cité Wahat,Appart,À Vendre,Tunis
2,273000.0,tayara,90.0,A vendre S2 à cité el wahat,Appart,À Vendre,Tunis
0,345000.0,tayara,105.0,A vendre S2 avec jardin Direct Promoteur,Appart,À Vendre,Ariana
2,389000.0,tayara,107.0,A vendre S2 direct promoteur à la soukra,Appart,À Vendre,Ariana
2,388000.0,tayara,110.0,A vendre S2 neuf a Chotrana 3,Appart,À Vendre,Ariana
4,330000.0,tayara,230.0,DEUX APPTS S2 A DAR FADHAL,House,À Vendre,Tunis
2,390000.0,tayara,120.0,APPT S2 PRES LEGLYSE LAOUINA,Appart,À Vendre,Tunis
3,410000.0,tayara,125.0,LA SOUKRA : APPARTEMENT S2 A VENDRE,Appart,À Vendre,Ariana
1,175000.0,tayara,42.0,MENZAH 7 BIS : APPARTEMENT S1 À VENDRE,Appart,À Vendre,Ariana
1,175000.0,tayara,42.0,MENZAH 7 BIS : APPARTEMENT S1 À VENDRE,Appart,À Vendre,Tunis
1,175000.0,tayara,42.0,MENZAH 7 BIS : APPARTEMENT S1 À VENDRE,Appart,À Vendre,Ariana
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Ariana
5,1150000.0,tayara,9000.0,Villa en vente,House,À Vendre,Sousse
4,530000.0,tayara,206.0,S4 à vendre à El Menzah 7 bis.,Appart,À Vendre,Ariana
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol sis à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
2,750.0,tayara,66.0,rdc villa meublé S1 France vil,House,À Vendre,Tunis
2,270000.0,tayara,94.0,"A vendre très bel Appart S2, avec place de parking sous sol sis à cité les palmiers , Laouina, Soukra",Appart,À Vendre,Tunis
3,270000.0,tayara,540.0,AV villa de 540m pas loin de hammamet yasmine 99202001,House,À Vendre,Nabeul
3,220000.0,tayara,1500.0,Maison à kalaa kbira,House,À Vendre,Sousse
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Tunis
3,290000.0,tayara,870.0,villa à vendre 560m²à route matar km 3 à gauche,House,À Vendre,Sfax
2,365000.0,tayara,105.12,Appartement à Hammamet,Appart,À Vendre,Nabeul
2,195000.0,tayara,200.0,AV 2 maisons pas loin de hammamet yasmine 99202001,House,À Vendre,Nabeul
3,320000.0,tayara,135.0,A vendre un appartement s3 avec place de parking sous-sol dans une nouvelle résidence a laouina proche de toutes commodités,Appart,À Vendre,Tunis
3,115000.0,tayara,65.0,maison rades,House,À Vendre,Ben Arous
2,190000.0,tayara,116.0,Appartement a vendre jinen el mansoura,Appart,À Vendre,Nabeul
2,145000.0,tayara,101.0,Maison à Vendre,House,À Vendre,Ben Arous
1,430000.0,tayara,4000.0,Maison de Campagne à Kalâa Kebira,House,À Vendre,Sousse
2,205000.0,tayara,120.0,A Vendre S2 Corniche,Appart,À Vendre,Sousse
2,80000.0,tayara,90.0,A Vendre S2 Corniche,Appart,À Vendre,Sousse
3,300000.0,tayara,204.0,A Vendre S3 Corniche,Appart,À Vendre,Sousse
1,260000.0,tayara,46.0,"Nouveau Projet R3 à Sidi Mahersi, Nabeul.",Appart,À Vendre,Nabeul
0,239000.0,tayara,0.0,Nouveau Projet Bureautique R6 à Nabeul centre ville.,Appart,À Vendre,Nabeul
3,769998.0,tayara,204.0,À vendre: Superbe Villa contemporaine S3 avec grand jardin à Cité El Wafa AFH Mrezga,House,À Vendre,Nabeul
4,405000.0,tayara,176.0,"Appartement S4 de 176m2 à Cité Wahat, LAouina",Appart,À Vendre,Tunis
4,405000.0,tayara,176.0,"Appartement S4 de 176m2 à Cité Wahat, LAouina",Appart,À Vendre,Tunis
7,1790000.0,tayara,570.0,vente soukra grande villa inachevée quartier trés demandé,House,À Vendre,Ariana
2,145000.0,tayara,68.0,Appartement S2 vue mer a vendre sousse boujaafer,Appart,À Vendre,Sousse
3,269999.0,tayara,125.0,vente riadh landalous s3 sans vis a vis,Appart,À Vendre,Ariana
1,239900.0,tayara,70.0,vente menzah7 bis grand S 1 cuisine independante,Appart,À Vendre,Ariana
3,405000.0,tayara,139.0,RIADH EL ANDALOUS : APPARTEMENT S3 AU REZ-DE-CHAUSSÉE À VENDRE,Appart,À Vendre,Ariana
4,280000.0,tayara,269.0,CITE EZZOUHOUR 4 - TUNIS : ETAGE DE VILLA À VENDRE AVEC CERTIFICAT DE PROPRIÉTÉ,House,À Vendre,Tunis
2,395000.0,tayara,161.0,RIADH AL ANDALOUSE : APPARTEMENT S2 A VENDRE,Appart,À Vendre,Ariana
3,395000.0,tayara,190.0,MENZAH 7 BIS : APPARTEMENT S3 À VENDRE,Appart,À Vendre,Tunis
3,350000.0,tayara,120.0,RIADH AL ANDALOUSE : APPARTEMENT S3 A VENDRE,Appart,À Vendre,Ariana
4,430000.0,tayara,160.0,ENNASR 1 APPARTEMENT S4 TRANSFORMÉ EN S3 À VENDRE,Appart,À Vendre,Ariana
