chambres,prix,source,surface,titre,type_bien,type_transaction,ville
5,10000.0,immobilier,600.0,Villa avec piscine vue mer,House,À Vendre,Tunis
4,4500.0,immobilier,350.0,Duplex meublé à gammarth,House,À Vendre,Tunis
4,6500.0,immobilier,170.0,S3 semi meublé de très haut standing à la marsa,Appart,À Vendre,Tunis
4,500000.0,immobilier,181.0,Appartement s3 181m2 à ain zaghouan,Appart,À Vendre,Tunis
5,800000.0,immobilier,225.0,Appartement s4 285m2 aux berges du lac 1,Appart,À Vendre,Tunis
5,1300.0,immobilier,180.0,S4 à la marsa,Appart,À Vendre,Tunis
2,1500.0,immobilier,70.0,S1 meublé dans la zone touristique de gammarth,Appart,À Vendre,Tunis
5,7000.0,immobilier,600.0,Rent a villa in the tourist area of gammarth,House,À Vendre,Tunis
5,1400000.0,immobilier,530.0,Villa plain pied à la marsa,House,À Vendre,Tunis
4,2300.0,immobilier,160.0,étage de villa,Appart,À Vendre,Tunis
3,450000.0,immobilier,147.0,S3 à gammarth supérieur,Appart,À Vendre,Tunis
5,3500.0,immobilier,465.0,Villa à la marsa,House,À Vendre,Tunis
5,500000.0,immobilier,190.0,Triplex au kram,Appart,À Vendre,Tunis
2,1000.0,immobilier,70.0,Appartement s1 la marsa,Appart,À Vendre,Tunis
5,650000.0,immobilier,280.0,Duplex à gammarth supérieur,House,À Vendre,Tunis
4,6000.0,immobilier,480.0,Villa à gammarth,House,À Vendre,
4,2300.0,immobilier,170.0,S3 meublé 170m2 à ain zaghouan nord,Appart,À Vendre,Tunis
5,4000.0,immobilier,280.0,S4 à la gammarth,Appart,À Vendre,
5,4500.0,immobilier,365.0,étage de villa à la marsa,House,À Vendre,Tunis
3,1200.0,immobilier,92.0,S2 à la marsa,Appart,À Vendre,Tunis
4,465000.0,immobilier,166.0,S3 165m2 à ain zaghouan nord,Appart,À Vendre,Tunis
3,240000.0,immobilier,61.0,Appartement s2 avec balcon - ennasser2,Appart,À Vendre,Ariana
4,435000.0,immobilier,140.0,Appartement s3 à la soukra,Appart,À Vendre,Ariana
5,4000.0,immobilier,250.0,Appartement s3 auc lac 1,Appart,À Vendre,Tunis
4,1600.0,immobilier,200.0,S3 neuf à la marsa,Appart,À Vendre,Tunis
4,420000.0,immobilier,240.0,Villa avec deux locaux commerciales- cite milaha ariana,House,À Vendre,Ariana
4,610000.0,immobilier,160.0,S3 à marsa les pins,Appart,À Vendre,Tunis
2,1300.0,immobilier,80.0,S1 meublé 80m2 au ain zaghouan nord,Appart,À Vendre,Tunis
3,1200.0,immobilier,100.0,étage de villa neuf. la marsa,Appart,À Vendre,Tunis
5,590000.0,immobilier,255.0,Villas neufs à la soukra,Appart,À Vendre,Ariana
3,1200.0,immobilier,120.0,S2 à la gammarth,Appart,À Vendre,
3,2000.0,immobilier,160.0,S2 avec jardin à marsa corniche,Appart,À Vendre,Tunis
5,4000.0,immobilier,800.0,Villa à gammarth,House,À Vendre,
2,3000.0,immobilier,100.0,S2 meublé à la marsa,Appart,À Vendre,Tunis
4,1900.0,immobilier,230.0,Rdc s3,Appart,À Vendre,Tunis
5,7500.0,immobilier,600.0,Villa . gammarth,House,À Vendre,Tunis
2,2500.0,immobilier,80.0,Appartement s1 meublé à gammarth,Appart,À Vendre,Tunis
3,1400.0,immobilier,100.0,Appartement s2 meublé- ennaser 2,Appart,À Vendre,Ariana
5,2300.0,immobilier,246.0,Duplex s4 à sidi bou said,House,À Vendre,Tunis
4,1700.0,immobilier,250.0,Rez de chaussÉe de villa s3 avec jardin - ennasr 2,Appart,À Vendre,Ariana
3,1500.0,immobilier,100.0,Appartement meublé s2 avec jardin. la marsa,Appart,À Vendre,Tunis
2,330000.0,immobilier,70.0,S1 de 70 m² au lac,Appart,À Vendre,Tunis
4,3200.0,immobilier,125.0,Appartement meublé à la marsa,Appart,À Vendre,Tunis
4,1300.0,immobilier,200.0,S3 jamais habité sur la route touristique de gammarth.,Appart,À Vendre,Tunis
3,1500.0,immobilier,200.0,S2 meublé à la marsa.,Appart,À Vendre,Tunis
4,1500.0,immobilier,170.0,S3 à la marsa,Appart,À Vendre,Tunis
3,1500.0,immobilier,147.0,S2 à gammarth,Appart,À Vendre,Tunis
4,320000.0,immobilier,125.0,S3 sur la route du relais gammarth.,Appart,À Vendre,
4,4000.0,immobilier,190.0,S3 au lac deux avec jardin,Appart,À Vendre,
2,215000.0,immobilier,67.0,Appartement s1 à ain zaghouan nord,Appart,À Vendre,Tunis
5,3000.0,immobilier,300.0,Triplex à gammarth,Appart,À Vendre,Tunis
4,1650000.0,immobilier,467.0,Villa à gammarth,House,À Vendre,Tunis
5,775000.0,immobilier,250.0,Triplex à gammarth,Appart,À Vendre,Tunis
5,2800000.0,immobilier,489.0,Penthouse en s5 sur la route touristique de gammarth.,Appart,À Vendre,Tunis
4,5000.0,immobilier,350.0,Villa. gammarth supérieur,House,À Vendre,Tunis
5,1100000.0,immobilier,410.0,Maison à la marsa plage,House,À Vendre,Tunis
3,2500.0,immobilier,180.0,Appartement à marsa corniche,Appart,À Vendre,Tunis
4,550000.0,immobilier,178.0,S3 de 178 m² à sidi daoud - la marsa,Appart,À Vendre,Tunis
4,512000.0,immobilier,183.0,Appartement s3,Appart,À Vendre,Tunis
4,512000.0,immobilier,173.0,Appartement s3,Appart,À Vendre,Tunis
4,475000.0,immobilier,158.0,Appartement s3,Appart,À Vendre,Tunis
4,2000.0,immobilier,180.0,S3 à la marsa,Appart,À Vendre,Tunis
5,1200000.0,immobilier,447.0,Villa à la marsa,House,À Vendre,Tunis
5,5500.0,immobilier,550.0,Villa à gammarth,House,À Vendre,Tunis
4,438000.0,immobilier,156.0,Appartement s3,Appart,À Vendre,Tunis
4,7000.0,immobilier,300.0,Villa jumelé à gammarth,House,À Vendre,Tunis
4,4000.0,immobilier,200.0,Appartement semi meublé. gammarth,Appart,À Vendre,Tunis
5,520000.0,immobilier,185.0,Duplex jumelé . la marsa,House,À Vendre,Tunis
5,7500.0,immobilier,300.0,Villa à la marsa,House,À Vendre,Tunis
3,2400.0,immobilier,160.0,Villa s2 à la marsa,House,À Vendre,Tunis
2,950.0,immobilier,75.0,Appartement s1 meublé à menzah 9 c,Appart,À Vendre,Tunis
3,3400.0,immobilier,150.0,Rent a furnished duplex at lac2,House,À Vendre,Tunis
4,1200.0,immobilier,120.0,étage de villa,Appart,À Vendre,Tunis
3,399000.0,immobilier,94.0,Etage de villa à marsa plage,Appart,À Vendre,Tunis
4,4000.0,immobilier,250.0,Villa s3 avec jardin à gammarth sup,House,À Vendre,Tunis
3,3500.0,immobilier,350.0,Villa s2 à gammarth,House,À Vendre,Tunis
4,2200.0,immobilier,150.0,étage de villa au lac 1,Appart,À Vendre,Tunis
5,7500.0,immobilier,220.0,Penthouse à la marsa,Appart,À Vendre,Tunis
4,1700.0,immobilier,240.0,S3 de 230 m²,Appart,À Vendre,
5,6500.0,immobilier,680.0,Villa meublée à gammarth,House,À Vendre,Tunis
5,1770720.0,immobilier,278.0,Luxueux s4 lac 2,Appart,À Vendre,Tunis
4,810000.0,immobilier,318.0,Villa de 318 m² sur un terrain de 200 m² à la marsa,Appart,À Vendre,Tunis
3,2000.0,immobilier,120.0,S2 meublé à la marsa,Appart,À Vendre,Tunis
4,2600.0,immobilier,130.0,Duplex vue mer à gammarth,House,À Vendre,Tunis
3,2400.0,immobilier,115.0,S2 meublé à la marsa,Appart,À Vendre,Tunis
3,2000.0,immobilier,100.0,"Appartement - la marsa, tunis",Appart,À Vendre,Tunis
5,4300.0,immobilier,250.0,Triplex à la marsa,Appart,À Vendre,Tunis
4,2300.0,immobilier,90.0,étage de villa s3 à la marsa plage,Appart,À Vendre,Tunis
4,750000.0,immobilier,150.0,Duplex s3 à gammarth supérieur,Appart,À Vendre,Tunis
5,7500.0,immobilier,400.0,Villa à gammarth,House,À Vendre,Tunis
4,4000.0,immobilier,150.0,S3 meublé à la marina de gammarth.,Appart,À Vendre,Tunis
4,680000.0,immobilier,260.0,Appartement s3,Appart,À Vendre,Tunis
3,1400.0,immobilier,150.0,S2 meublé à gammarth supérieur,Appart,À Vendre,Tunis
5,12000.0,immobilier,800.0,Villa avec piscine au lac1,House,À Vendre,Tunis
2,1500.0,immobilier,70.0,Cabinet médical récent à marsa ville,Appart,À Vendre,Tunis
2,1000.0,immobilier,25.0,Cabinet médical à marsa ville,Appart,À Vendre,Tunis
5,1100.0,immobilier,140.0,Villa -mutuelle ville,House,À Vendre,Tunis
3,480000.0,immobilier,141.0,S2 de 141 m² au lac 2,Appart,À Vendre,
3,2300.0,immobilier,150.0,S2 meublé à la corniche,Appart,À Vendre,Tunis
3,2000.0,immobilier,170.0,S2 meublé à la marsa,Appart,À Vendre,Tunis
4,2500.0,immobilier,179.0,Duplex à gammarth,House,À Vendre,Tunis
4,325000.0,immobilier,130.0,Appartement s3 à gammarth,Appart,À Vendre,Tunis
5,3800.0,immobilier,400.0,Villa s5 meublée à sidi daoud,House,À Vendre,Tunis
2,1400.0,immobilier,60.0,S1 à la marsa plage,Appart,À Vendre,Tunis
5,7500.0,immobilier,600.0,Villa de maître,House,À Vendre,Tunis
5,6500.0,immobilier,550.0,Villa à gammarth,House,À Vendre,Tunis
4,370000.0,immobilier,143.0,S3 de 143 m² à la soukra,Appart,À Vendre,Ariana
5,1000.0,immobilier,120.0,étage de villa à la marsa,Appart,À Vendre,Tunis
5,2600.0,immobilier,450.0,Villa s4 à la marsa,House,À Vendre,Tunis
5,2100000.0,immobilier,800.0,Villa s6 à la marsa,House,À Vendre,Tunis
2,1800.0,immobilier,60.0,Appartement,Appart,À Vendre,Tunis
5,1100000.0,immobilier,341.0,Duplex à la marsa,House,À Vendre,Tunis
5,340000.0,immobilier,180.0,Triplex à laouina,Appart,À Vendre,Tunis
5,1500000.0,immobilier,409.0,Villa à gammarth,House,À Vendre,Tunis
4,725000.0,immobilier,252.0,Duplex de 252 m²,House,À Vendre,
