chambres,prix,source,surface,titre,type_bien,type_transaction,ville
2,412000.0,mubawab,103.0,"Apartment for sale in Cité Ennasr 2. Small area 103 m². Secured door, Secured neighbourhood",Appart,À Vendre,Ariana
3,650000.0,mubawab,170.0,"Apartment for sale in Cité Ennasr 2.3 rooms. Secured door, General satellite dish",Appart,À Vendre,Ariana
3,478000.0,mubawab,128.0,Fabulous apartment for sale in El Menzah 8.3 large living areas. Double glazing and central heating,Appart,À Vendre,Ariana
2,2500000.0,mubawab,1150.0,Apartment to purchase in République. 40 rooms,Appart,À Vendre,Tunis
2,280000.0,mubawab,88.0,Sell apartment in Route Teniour. Total area 88 m². Lift and terrace,Appart,À Vendre,Sfax
3,527000.0,mubawab,128.0,Sale of a lovely apartment in Cité Ennasr 2.3 large living areas. Double glazed windows and central heating,Appart,À Vendre,Ariana
1,220000.0,mubawab,47.0,Apartment to purchase in Cité Ennasr 2. Large area 47 m². Caretaker and air conditioning,Appart,À Vendre,Ariana
2,223000.0,mubawab,78.0,Fabulous apartment for sale. Large area 78 m². Fitted kitchen,Appart,À Vendre,Salakta
4,580000.0,mubawab,260.0,House for sale. 4 beautiful rooms,House,À Vendre,Hammam Ghezèze
1,334830.0,mubawab,62.0,"Apartment for sale in Chotrana 1.1 lovely room. Thermal insulation and soundproofing, Air conditioning installation",Appart,À Vendre,La Soukra
1,374730.0,mubawab,85.0,Sell apartment in Chotrana 1. Large area 85 m². Reinforced door and central heating,Appart,À Vendre,La Soukra
1,321900.0,mubawab,55.0,Apartment to purchase in Chotrana 1. Small area 55 m². Lift and parking spaces,Appart,À Vendre,La Soukra
1,341920.0,mubawab,63.0,Beautiful apartment for sale in Chotrana 1. Total area 63 m². Caretaker service and air conditioning,Appart,À Vendre,La Soukra
9,2700000.0,mubawab,400.0,Magnificent villa for sale. Area of 400 m². Beautiful terrace and garden,House,À Vendre,Kélibia
3,570000.0,mubawab,217.0,Apartment to purchase in La Marsa. Surface area 217 m². Parking spaces and beautiful garden,Appart,À Vendre,La Marsa
4,1200000.0,mubawab,305.0,High quality villa for sale in Ezzahra. 6 large living areas. Central heating,House,À Vendre,Ezzahra
1,252000.0,mubawab,58.0,Fabulous apartment for sale in La Soukra. 2 large rooms. Lift and parking,Appart,À Vendre,La Soukra
2,580000.0,mubawab,200.0,"High quality villa for sale in Houmt Souk. 3 rooms. Private garden, Cellar",House,À Vendre,Houmt Souk
